label,prob,seg
0,0.8470956,a07_403
0,0.8710113,a07_406
0,0.7147958,a07_407
0,0.8804376,a07_408
0,0.8562088,a07_409
0,0.6755712,a07_41
0,0.08319498,a07_410
0,0.049518593,a07_411
0,0.5975943,a07_412
0,0.024439769,a07_413
0,0.0380018,a07_414
0,0.038942467,a07_415
0,0.42513254,a07_416
0,0.041192908,a07_417
0,0.7658375,a07_418
0,0.81330204,a07_42
0,0.034447297,a07_426
0,0.888996,a07_427
0,0.8092875,a07_428
0,0.69600713,a07_429
0,0.03934533,a07_430
0,0.03572657,a07_431
0,0.028325094,a07_432
0,0.33808023,a07_433
0,0.023353353,a07_434
0,0.02371123,a07_435
0,0.03244084,a07_436
0,0.14815184,a07_437
0,0.5773071,a07_438
0,0.7992931,a07_44
0,0.024593784,a07_45
0,0.05509436,a07_46
0,0.49033794,a07_47
0,0.2069324,a07_477
0,0.867745,a07_478
0,0.12967564,a07_479
0,0.5413165,a07_48
0,0.89859855,a07_480
0,0.7500891,a07_481
0,0.8697941,a07_482
0,0.37541074,a07_49
0,0.6880587,a07_5
0,0.051231716,a07_50
0,0.033472355,a07_51
0,0.19504252,a07_52
0,0.57310224,a07_53
0,0.71425843,a07_54
0,0.019211063,a07_6
0,0.65058875,a07_7
0,0.81477326,a07_75
0,0.71699774,a07_76
0,0.74790215,a07_77
0,0.72646284,a07_78
0,0.8956875,a07_79
0,0.5604648,a07_8
0,0.58270496,a07_80
0,0.69771886,a07_81
0,0.85608053,a07_82
0,0.739695,a07_83
0,0.74217373,a07_84
0,0.44885364,a07_85
0,0.07633533,a07_86
0,0.025056046,a07_87
0,0.42903665,a07_88
0,0.03112867,a07_89
0,0.04347772,a07_9
0,0.26776543,a07_90
0,0.06468362,a07_91
0,0.6972088,a07_92
0,0.56910825,a07_93
0,0.84100056,a07_94
1,0.8118625,a08_100
1,0.8499903,a08_101
1,0.26108587,a08_105
1,0.37219727,a08_106
1,0.73760194,a08_107
1,0.84659564,a08_108
1,0.3025969,a08_118
1,0.036185168,a08_119
1,0.46262777,a08_120
1,0.71310633,a08_121
1,0.56248575,a08_122
1,0.27052268,a08_123
1,0.51004183,a08_124
1,0.6950343,a08_125
1,0.029909296,a08_126
1,0.043074343,a08_129
1,0.6822368,a08_131
1,0.73269856,a08_132
1,0.06632772,a08_133
1,0.8487901,a08_135
1,0.82095474,a08_136
1,0.6919128,a08_137
1,0.7949946,a08_138
1,0.7713878,a08_139
1,0.671527,a08_140
1,0.47532982,a08_141
1,0.018588413,a08_142
1,0.83382154,a08_143
1,0.77139765,a08_144
1,0.62102747,a08_145
1,0.3199448,a08_146
1,0.6404074,a08_147
1,0.7436731,a08_148
1,0.80009186,a08_149
1,0.83924913,a08_150
1,0.6734836,a08_151
1,0.6716656,a08_152
1,0.54876685,a08_153
1,0.8194868,a08_154
1,0.8365485,a08_155
1,0.816679,a08_156
1,0.81897646,a08_157
1,0.74028885,a08_158
1,0.29368854,a08_161
1,0.8769807,a08_162
1,0.021642942,a08_163
1,0.62316495,a08_166
1,0.016569657,a08_167
1,0.02965677,a08_168
1,0.8258129,a08_169
1,0.02384778,a08_170
1,0.8563453,a08_185
1,0.019057432,a08_186
1,0.6029981,a08_189
1,0.020171804,a08_226
1,0.7764212,a08_232
1,0.81896573,a08_255
1,0.8782836,a08_258
1,0.8880231,a08_259
1,0.070359066,a08_260
1,0.021340227,a08_261
1,0.104746155,a08_283
1,0.026181232,a08_292
1,0.70807123,a08_298
1,0.027121216,a08_299
1,0.8288608,a08_300
1,0.088656396,a08_301
1,0.19681117,a08_302
1,0.8372898,a08_303
1,0.39330178,a08_304
1,0.7141551,a08_305
1,0.37142915,a08_306
1,0.7315075,a08_307
1,0.82175034,a08_327
1,0.25138816,a08_328
1,0.6548888,a08_33
1,0.77002215,a08_330
1,0.8387269,a08_331
1,0.8957734,a08_332
1,0.6813547,a08_333
1,0.8603053,a08_334
1,0.6661252,a08_335
1,0.8696302,a08_336
1,0.89697826,a08_337
1,0.8664917,a08_338
1,0.67665166,a08_339
1,0.15925334,a08_34
1,0.846355,a08_340
1,0.84014684,a08_341
1,0.88289326,a08_342
1,0.89561963,a08_343
1,0.8559363,a08_344
1,0.86115783,a08_345
1,0.8780499,a08_346
1,0.845614,a08_347
1,0.8738485,a08_348
1,0.8532387,a08_349
1,0.8745444,a08_35
1,0.9064064,a08_350
1,0.92352605,a08_351
1,0.73606354,a08_352
1,0.70280313,a08_355
1,0.040744003,a08_356
1,0.6609832,a08_357
1,0.7320284,a08_358
1,0.81194633,a08_359
1,0.90295875,a08_36
1,0.66063935,a08_360
1,0.8487714,a08_361
1,0.39311138,a08_362
1,0.057271596,a08_365
1,0.75516015,a08_366
1,0.021948267,a08_367
1,0.8592371,a08_37
1,0.7412618,a08_38
1,0.90388423,a08_401
1,0.8864257,a08_402
1,0.7289037,a08_403
1,0.064266235,a08_404
1,0.42540365,a08_405
1,0.7663259,a08_406
1,0.25933266,a08_407
1,0.65552926,a08_408
1,0.652726,a08_409
1,0.2258404,a08_41
1,0.2632539,a08_410
1,0.8517844,a08_411
1,0.5258317,a08_412
1,0.76526934,a08_413
1,0.8918841,a08_414
1,0.73086005,a08_415
1,0.7348791,a08_416
1,0.4566541,a08_417
1,0.24258924,a08_418
1,0.86483604,a08_419
1,0.39410108,a08_42
1,0.8253547,a08_420
1,0.7932508,a08_421
1,0.84007716,a08_422
1,0.8501294,a08_423
1,0.87339276,a08_424
1,0.8365042,a08_425
1,0.9017086,a08_426
1,0.15480639,a08_427
1,0.033917584,a08_429
1,0.8116679,a08_456
1,0.88115776,a08_457
1,0.8894013,a08_458
1,0.908697,a08_459
1,0.8807433,a08_460
1,0.9085638,a08_461
1,0.88294685,a08_462
1,0.87120146,a08_463
1,0.8953487,a08_464
1,0.87507254,a08_465
1,0.90901023,a08_466
1,0.86470705,a08_467
1,0.88039917,a08_468
1,0.87740624,a08_469
1,0.9036163,a08_470
1,0.8623221,a08_471
1,0.71508586,a08_472
1,0.89222515,a08_473
1,0.87980527,a08_474
1,0.8797593,a08_475
1,0.90280735,a08_476
1,0.8883453,a08_477
1,0.8395272,a08_478
1,0.8042749,a08_479
1,0.7846047,a08_480
1,0.8895458,a08_481
1,0.901517,a08_60
1,0.6578294,a08_61
1,0.74744457,a08_63
1,0.042793583,a08_64
1,0.88491255,a08_75
1,0.8470752,a08_80
1,0.8031065,a08_81
1,0.6055599,a08_87
1,0.509296,a08_88
1,0.4327969,a08_90
1,0.73619616,a08_91
1,0.75427526,a08_92
1,0.7688207,a08_94
1,0.5905434,a08_95
1,0.57530683,a08_96
1,0.8725455,a08_97
1,0.015307352,a08_98
1,0.86593825,a08_99
0,0.017137263,a08_0
0,0.08563595,a08_1
0,0.6750557,a08_10
0,0.017655535,a08_102
0,0.031739365,a08_103
0,0.75631684,a08_104
0,0.5667284,a08_109
0,0.55653036,a08_11
0,0.015335258,a08_110
0,0.3790767,a08_111
0,0.82559514,a08_112
0,0.21841756,a08_113
0,0.015993576,a08_114
0,0.042927705,a08_115
0,0.041338157,a08_116
0,0.03745324,a08_117
0,0.03855491,a08_12
0,0.022591835,a08_127
0,0.017136522,a08_128
0,0.56943697,a08_13
0,0.27265874,a08_130
0,0.042482063,a08_134
0,0.68728036,a08_14
0,0.7590201,a08_15
0,0.029796097,a08_159
0,0.35939938,a08_16
0,0.6063607,a08_160
0,0.01833516,a08_164
0,0.031085007,a08_165
0,0.02142532,a08_17
0,0.025337638,a08_171
0,0.5117561,a08_172
0,0.30706775,a08_173
0,0.018374218,a08_174
0,0.04018788,a08_175
0,0.021371353,a08_176
0,0.022113763,a08_177
0,0.021391084,a08_178
0,0.022496289,a08_179
0,0.06188119,a08_18
0,0.017332204,a08_180
0,0.058871925,a08_181
0,0.022934847,a08_182
0,0.017873138,a08_183
0,0.025307411,a08_184
0,0.06150846,a08_187
0,0.3410789,a08_188
0,0.36271873,a08_19
0,0.025072044,a08_190
0,0.02182694,a08_191
0,0.36206102,a08_192
0,0.34979555,a08_193
0,0.033375446,a08_194
0,0.024409052,a08_195
0,0.038757063,a08_196
0,0.019253446,a08_197
0,0.06487886,a08_198
0,0.018890822,a08_199
0,0.034511924,a08_2
0,0.02610777,a08_20
0,0.032134682,a08_200
0,0.051832587,a08_201
0,0.021284837,a08_202
0,0.02489537,a08_203
