label,prob,seg
1,0.9524274,x15_192
1,0.73727816,x15_193
1,0.9234852,x15_194
1,0.97155815,x15_195
1,0.21073101,x15_196
1,0.9703771,x15_197
1,0.96853596,x15_198
1,0.17705943,x15_199
1,0.18497124,x15_200
1,0.26972833,x15_201
1,0.9447338,x15_202
1,0.98601925,x15_203
1,0.93432647,x15_204
1,0.9783463,x15_205
1,0.8823021,x15_206
1,0.98315054,x15_207
1,0.86894995,x15_208
1,0.19901918,x15_209
1,0.9544825,x15_210
1,0.4660636,x15_263
1,0.90839136,x15_264
1,0.91608185,x15_265
1,0.8532379,x15_266
1,0.9404875,x15_267
1,0.7914788,x15_268
1,0.34272859,x15_269
1,0.83341014,x15_270
1,0.18757072,x15_271
1,0.9570433,x15_272
1,0.32721728,x15_273
1,0.8769789,x15_274
1,0.32750747,x15_275
1,0.9300618,x15_276
1,0.47124237,x15_277
1,0.9508512,x15_278
1,0.40557528,x15_279
1,0.90707505,x15_280
1,0.557386,x15_281
1,0.8957029,x15_282
1,0.93931425,x15_283
1,0.9176629,x15_284
1,0.79974276,x15_285
1,0.81168526,x15_286
1,0.7898576,x15_287
1,0.9014662,x15_288
1,0.61644113,x15_289
1,0.9082673,x15_290
1,0.81608343,x15_291
1,0.3816869,x15_292
1,0.381074,x15_293
1,0.79960346,x15_294
1,0.78223693,x15_295
1,0.96719235,x15_296
1,0.95473313,x15_297
1,0.9531382,x15_298
1,0.9719874,x15_299
1,0.33162254,x15_300
1,0.92913276,x15_301
1,0.93478864,x15_302
1,0.9407917,x15_303
1,0.86629605,x15_304
1,0.8639663,x15_305
1,0.8344274,x15_353
1,0.8980613,x15_354
1,0.9361267,x15_355
1,0.91984063,x15_356
1,0.56245404,x15_357
1,0.8516407,x15_358
1,0.8978544,x15_359
1,0.60585254,x15_360
1,0.68072593,x15_361
1,0.94656384,x15_362
1,0.9661627,x15_363
1,0.94538295,x15_364
1,0.9694689,x15_365
1,0.88106525,x15_366
1,0.94121647,x15_367
1,0.77617973,x15_368
1,0.6544106,x15_369
1,0.9089929,x15_370
1,0.7638854,x15_371
1,0.9711511,x15_372
1,0.9841246,x15_373
1,0.95331925,x15_374
1,0.97581077,x15_375
1,0.9707624,x15_376
1,0.8231701,x15_377
1,0.8843445,x15_378
1,0.97786456,x15_379
1,0.9742347,x15_380
1,0.9802184,x15_381
1,0.9695575,x15_382
1,0.9733708,x15_383
1,0.9731164,x15_384
1,0.96737957,x15_385
1,0.4501515,x15_386
1,0.5503532,x15_387
1,0.90883774,x15_388
1,0.2921255,x15_416
1,0.25425345,x15_417
1,0.749616,x15_418
1,0.8279538,x15_419
1,0.9141887,x15_420
1,0.9555087,x15_421
1,0.41997087,x15_422
1,0.7740843,x15_423
1,0.62123257,x15_424
1,0.9082087,x15_425
1,0.7896347,x15_426
1,0.880906,x15_427
1,0.98463285,x15_428
1,0.7323196,x15_429
1,0.9862976,x15_430
1,0.96881145,x15_431
1,0.98281306,x15_432
1,0.9521701,x15_433
1,0.5050026,x15_434
1,0.96595275,x15_435
1,0.96685624,x15_436
1,0.9250487,x15_437
1,0.9836896,x15_438
1,0.9900203,x15_439
1,0.8693431,x15_440
1,0.16769359,x15_441
1,0.68984866,x15_442
1,0.9611269,x15_443
1,0.97647446,x15_444
1,0.9774269,x15_445
1,0.2995072,x15_446
1,0.47792122,x15_447
1,0.2364534,x15_448
1,0.9257786,x15_479
1,0.9093822,x15_480
1,0.8371068,x15_481
1,0.6586209,x15_482
1,0.39788005,x15_483
1,0.88034135,x15_484
1,0.3709327,x15_485
