prob,label,seg
0.93791264,0,a07_403
0.9807438,0,a07_406
0.94978505,0,a07_407
0.94336146,0,a07_408
0.9493193,0,a07_409
0.8830099,0,a07_41
0.08578217,0,a07_410
0.09500612,0,a07_411
0.14474893,0,a07_412
0.053066533,0,a07_413
0.011466532,0,a07_414
0.24430123,0,a07_415
0.016554054,0,a07_416
0.2055292,0,a07_417
0.86146396,0,a07_418
0.8975586,0,a07_42
0.71079296,0,a07_426
0.9731746,0,a07_427
0.92521054,0,a07_428
0.8386531,0,a07_429
0.44311446,0,a07_430
0.27837476,0,a07_431
0.3959744,0,a07_432
0.21292442,0,a07_433
0.26432335,0,a07_434
0.15223365,0,a07_435
0.29980507,0,a07_436
0.5347894,0,a07_437
0.8807804,0,a07_438
0.52122545,0,a07_44
0.0413829,0,a07_45
0.23248996,0,a07_46
0.2220402,0,a07_47
0.6793162,0,a07_477
0.8799167,0,a07_478
0.6163464,0,a07_479
0.032318685,0,a07_48
0.8817466,0,a07_480
0.85018206,0,a07_481
0.9570216,0,a07_482
0.2617053,0,a07_49
0.7562403,0,a07_5
0.49413598,0,a07_50
0.5777208,0,a07_51
0.8378851,0,a07_52
0.62091696,0,a07_53
0.87003756,0,a07_54
0.019707758,0,a07_6
0.317153,0,a07_7
0.9096462,0,a07_75
0.6344745,0,a07_76
0.863022,0,a07_77
0.9341198,0,a07_78
0.912471,0,a07_79
0.13164195,0,a07_8
0.85966927,0,a07_80
0.8493503,0,a07_81
0.95140326,0,a07_82
0.8584612,0,a07_83
0.8556296,0,a07_84
0.7692547,0,a07_85
0.256868,0,a07_86
0.104439385,0,a07_87
0.18040161,0,a07_88
0.19701369,0,a07_89
0.16258797,0,a07_9
0.48536605,0,a07_90
0.5427871,0,a07_91
0.56712705,0,a07_92
0.6543469,0,a07_93
0.9104939,0,a07_94
0.63097805,1,a08_100
0.6668509,1,a08_101
0.21885304,1,a08_105
0.27444053,1,a08_106
0.8880897,1,a08_107
0.9539562,1,a08_108
0.17837422,1,a08_118
0.30193284,1,a08_119
0.8706938,1,a08_120
0.53018355,1,a08_121
0.48108327,1,a08_122
0.097030595,1,a08_123
0.7633917,1,a08_124
0.35061157,1,a08_125
0.16354385,1,a08_126
0.017575698,1,a08_129
0.16009082,1,a08_131
0.29011917,1,a08_132
0.10351291,1,a08_133
0.8307685,1,a08_135
0.7654892,1,a08_136
0.72834855,1,a08_137
0.8400144,1,a08_138
0.7819905,1,a08_139
0.59338737,1,a08_140
0.3241124,1,a08_141
0.008331515,1,a08_142
0.5014048,1,a08_143
0.39884833,1,a08_144
0.13067982,1,a08_145
0.23275554,1,a08_146
0.90322936,1,a08_147
0.68060774,1,a08_148
0.92593634,1,a08_149
0.7888171,1,a08_150
0.74738157,1,a08_151
0.25727823,1,a08_152
0.070511214,1,a08_153
0.433918,1,a08_154
0.9323368,1,a08_155
0.5780501,1,a08_156
0.70006144,1,a08_157
0.41449574,1,a08_158
0.15920088,1,a08_161
0.9555743,1,a08_162
0.025157737,1,a08_163
0.13347335,1,a08_166
0.022992468,1,a08_167
0.093304336,1,a08_168
0.6606325,1,a08_169
0.06597014,1,a08_170
0.2903637,1,a08_185
0.2090083,1,a08_186
0.73796815,1,a08_189
0.033005647,1,a08_226
0.7993198,1,a08_232
0.31282017,1,a08_255
0.93795025,1,a08_258
0.9595808,1,a08_259
0.8481233,1,a08_260
0.2390895,1,a08_261
0.9019244,1,a08_283
0.06186547,1,a08_292
0.6349038,1,a08_298
0.27369195,1,a08_299
0.8237971,1,a08_300
0.07671017,1,a08_301
0.45023915,1,a08_302
0.7953095,1,a08_303
0.5955697,1,a08_304
0.5271836,1,a08_305
0.36007768,1,a08_306
0.118852824,1,a08_307
0.92248213,1,a08_327
0.937596,1,a08_328
0.83843243,1,a08_33
0.953549,1,a08_330
0.95177007,1,a08_331
0.97272575,1,a08_332
0.9619629,1,a08_333
0.97252965,1,a08_334
0.9617237,1,a08_335
0.9675442,1,a08_336
0.9857098,1,a08_337
0.98109263,1,a08_338
0.94206285,1,a08_339
0.24334131,1,a08_34
0.9756211,1,a08_340
0.9787805,1,a08_341
0.9806238,1,a08_342
0.97878236,1,a08_343
0.9812976,1,a08_344
0.9754328,1,a08_345
